===============================================================================
 GLIntercept version 1.34 Log generated on: Mon May 15 13:53:07 2017
 
===============================================================================

wglChoosePixelFormat(BF0117B9,0136CC0C)=9 
glGetStringi(GL_EXTENSIONS,349)="GL_KHR_blend_equation_adv..." 
glGetStringi(GL_EXTENSIONS,350)="GL_SGIS_generate_mipmap" 
glGetStringi(GL_EXTENSIONS,351)="GL_SGIS_texture_lod" 
glGetStringi(GL_EXTENSIONS,352)="GL_SGIX_depth_texture" 
glGetStringi(GL_EXTENSIONS,353)="GL_SGIX_shadow" 
glGetStringi(GL_EXTENSIONS,354)="GL_SUN_slice_accum" 
glGetStringi(GL_EXTENSIONS,355)="GL_WIN_swap_hint" 
glGetStringi(GL_EXTENSIONS,356)="WGL_EXT_swap_control" 
wglGetProcAddress("glCopyTexSubImage3D")=10026110 
wglGetProcAddress("glDrawRangeElements")=10026140 
wglGetProcAddress("glTexImage3D")=10026170 
wglGetProcAddress("glTexSubImage3D")=100261A0 
wglGetProcAddress("glActiveTexture")=100261D0 
wglGetProcAddress("glClientActiveTexture")=10026200 
wglGetProcAddress("glCompressedTexImage1D")=10026230 
wglGetProcAddress("glCompressedTexImage2D")=10026260 
wglGetProcAddress("glCompressedTexImage3D")=10026290 
wglGetProcAddress("glCompressedTexSubImage1D")=100262C0 
wglGetProcAddress("glCompressedTexSubImage2D")=100262F0 
wglGetProcAddress("glCompressedTexSubImage3D")=10026320 
wglGetProcAddress("glGetCompressedTexImage")=10026350 
wglGetProcAddress("glLoadTransposeMatrixd")=10026380 
wglGetProcAddress("glLoadTransposeMatrixf")=100263B0 
wglGetProcAddress("glMultTransposeMatrixd")=100263E0 
wglGetProcAddress("glMultTransposeMatrixf")=10026410 
wglGetProcAddress("glMultiTexCoord1d")=10026440 
wglGetProcAddress("glMultiTexCoord1dv")=10026470 
wglGetProcAddress("glMultiTexCoord1f")=100264A0 
wglGetProcAddress("glMultiTexCoord1fv")=100264D0 
wglGetProcAddress("glMultiTexCoord1i")=10026500 
wglGetProcAddress("glMultiTexCoord1iv")=10026530 
wglGetProcAddress("glMultiTexCoord1s")=10026560 
wglGetProcAddress("glMultiTexCoord1sv")=10026590 
wglGetProcAddress("glMultiTexCoord2d")=100265C0 
wglGetProcAddress("glMultiTexCoord2dv")=100265F0 
wglGetProcAddress("glMultiTexCoord2f")=10026620 
wglGetProcAddress("glMultiTexCoord2fv")=10026650 
wglGetProcAddress("glMultiTexCoord2i")=10026680 
wglGetProcAddress("glMultiTexCoord2iv")=100266B0 
wglGetProcAddress("glMultiTexCoord2s")=100266E0 
wglGetProcAddress("glMultiTexCoord2sv")=10026710 
wglGetProcAddress("glMultiTexCoord3d")=10026740 
wglGetProcAddress("glMultiTexCoord3dv")=10026770 
wglGetProcAddress("glMultiTexCoord3f")=100267A0 
wglGetProcAddress("glMultiTexCoord3fv")=100267D0 
wglGetProcAddress("glMultiTexCoord3i")=10026800 
wglGetProcAddress("glMultiTexCoord3iv")=10026830 
wglGetProcAddress("glMultiTexCoord3s")=10026860 
wglGetProcAddress("glMultiTexCoord3sv")=10026890 
wglGetProcAddress("glMultiTexCoord4d")=100268C0 
wglGetProcAddress("glMultiTexCoord4dv")=100268F0 
wglGetProcAddress("glMultiTexCoord4f")=10026920 
wglGetProcAddress("glMultiTexCoord4fv")=10026950 
wglGetProcAddress("glMultiTexCoord4i")=10026980 
wglGetProcAddress("glMultiTexCoord4iv")=100269B0 
wglGetProcAddress("glMultiTexCoord4s")=100269E0 
wglGetProcAddress("glMultiTexCoord4sv")=10026A10 
wglGetProcAddress("glSampleCoverage")=10026A40 
wglGetProcAddress("glBlendColor")=10026A70 
wglGetProcAddress("glBlendEquation")=10026AA0 
wglGetProcAddress("glBlendFuncSeparate")=10026AD0 
wglGetProcAddress("glFogCoordPointer")=10026B00 
wglGetProcAddress("glFogCoordd")=10026B30 
wglGetProcAddress("glFogCoorddv")=10026B60 
wglGetProcAddress("glFogCoordf")=10026B90 
wglGetProcAddress("glFogCoordfv")=10026BC0 
wglGetProcAddress("glMultiDrawArrays")=10026BF0 
wglGetProcAddress("glMultiDrawElements")=10026C20 
wglGetProcAddress("glPointParameterf")=10026C50 
wglGetProcAddress("glPointParameterfv")=10026C80 
wglGetProcAddress("glPointParameteri")=10026CB0 
wglGetProcAddress("glPointParameteriv")=10026CE0 
wglGetProcAddress("glSecondaryColor3b")=10026D10 
wglGetProcAddress("glSecondaryColor3bv")=10026D40 
wglGetProcAddress("glSecondaryColor3d")=10026D70 
wglGetProcAddress("glSecondaryColor3dv")=10026DA0 
wglGetProcAddress("glSecondaryColor3f")=10026DD0 
wglGetProcAddress("glSecondaryColor3fv")=10026E00 
wglGetProcAddress("glSecondaryColor3i")=10026E30 
wglGetProcAddress("glSecondaryColor3iv")=10026E60 
wglGetProcAddress("glSecondaryColor3s")=10026E90 
wglGetProcAddress("glSecondaryColor3sv")=10026EC0 
wglGetProcAddress("glSecondaryColor3ub")=10026EF0 
wglGetProcAddress("glSecondaryColor3ubv")=10026F20 
wglGetProcAddress("glSecondaryColor3ui")=10026F50 
wglGetProcAddress("glSecondaryColor3uiv")=10026F80 
wglGetProcAddress("glSecondaryColor3us")=10026FB0 
wglGetProcAddress("glSecondaryColor3usv")=10026FE0 
wglGetProcAddress("glSecondaryColorPointer")=10027010 
wglGetProcAddress("glWindowPos2d")=10027040 
wglGetProcAddress("glWindowPos2dv")=10027070 
wglGetProcAddress("glWindowPos2f")=100270A0 
wglGetProcAddress("glWindowPos2fv")=100270D0 
wglGetProcAddress("glWindowPos2i")=10027100 
wglGetProcAddress("glWindowPos2iv")=10027130 
wglGetProcAddress("glWindowPos2s")=10027160 
wglGetProcAddress("glWindowPos2sv")=10027190 
wglGetProcAddress("glWindowPos3d")=100271C0 
wglGetProcAddress("glWindowPos3dv")=100271F0 
wglGetProcAddress("glWindowPos3f")=10027220 
wglGetProcAddress("glWindowPos3fv")=10027250 
wglGetProcAddress("glWindowPos3i")=10027280 
wglGetProcAddress("glWindowPos3iv")=100272B0 
wglGetProcAddress("glWindowPos3s")=100272E0 
wglGetProcAddress("glWindowPos3sv")=10027310 
wglGetProcAddress("glBeginQuery")=10027340 
wglGetProcAddress("glBindBuffer")=10027370 
wglGetProcAddress("glBufferData")=100273A0 
wglGetProcAddress("glBufferSubData")=100273D0 
wglGetProcAddress("glDeleteBuffers")=10027400 
wglGetProcAddress("glDeleteQueries")=10027430 
wglGetProcAddress("glEndQuery")=10027460 
wglGetProcAddress("glGenBuffers")=10027490 
wglGetProcAddress("glGenQueries")=100274C0 
wglGetProcAddress("glGetBufferParameteriv")=100274F0 
wglGetProcAddress("glGetBufferPointerv")=10027520 
wglGetProcAddress("glGetBufferSubData")=10027550 
wglGetProcAddress("glGetQueryObjectiv")=10027580 
wglGetProcAddress("glGetQueryObjectuiv")=100275B0 
wglGetProcAddress("glGetQueryiv")=100275E0 
wglGetProcAddress("glIsBuffer")=10027610 
wglGetProcAddress("glIsQuery")=10027640 
wglGetProcAddress("glMapBuffer")=10027670 
wglGetProcAddress("glUnmapBuffer")=100276A0 
wglGetProcAddress("glAttachShader")=100276D0 
wglGetProcAddress("glBindAttribLocation")=10027700 
wglGetProcAddress("glBlendEquationSeparate")=10027730 
wglGetProcAddress("glCompileShader")=10027760 
wglGetProcAddress("glCreateProgram")=10027790 
wglGetProcAddress("glCreateShader")=100277C0 
wglGetProcAddress("glDeleteProgram")=100277F0 
wglGetProcAddress("glDeleteShader")=10027820 
wglGetProcAddress("glDetachShader")=10027850 
wglGetProcAddress("glDisableVertexAttribArra...")=10027880 
wglGetProcAddress("glDrawBuffers")=100278B0 
wglGetProcAddress("glEnableVertexAttribArray")=100278E0 
wglGetProcAddress("glGetActiveAttrib")=10027910 
wglGetProcAddress("glGetActiveUniform")=10027940 
wglGetProcAddress("glGetAttachedShaders")=10027970 
wglGetProcAddress("glGetAttribLocation")=100279A0 
wglGetProcAddress("glGetProgramInfoLog")=100279D0 
wglGetProcAddress("glGetProgramiv")=10027A00 
wglGetProcAddress("glGetShaderInfoLog")=10027A30 
wglGetProcAddress("glGetShaderSource")=10027A60 
wglGetProcAddress("glGetShaderiv")=10027A90 
wglGetProcAddress("glGetUniformLocation")=10027AC0 
wglGetProcAddress("glGetUniformfv")=10027AF0 
wglGetProcAddress("glGetUniformiv")=10027B20 
wglGetProcAddress("glGetVertexAttribPointerv")=10027B50 
wglGetProcAddress("glGetVertexAttribdv")=10027B80 
wglGetProcAddress("glGetVertexAttribfv")=10027BB0 
wglGetProcAddress("glGetVertexAttribiv")=10027BE0 
wglGetProcAddress("glIsProgram")=10027C10 
wglGetProcAddress("glIsShader")=10027C40 
wglGetProcAddress("glLinkProgram")=10027C70 
wglGetProcAddress("glShaderSource")=10027CA0 
wglGetProcAddress("glStencilFuncSeparate")=10027CD0 
wglGetProcAddress("glStencilMaskSeparate")=10027D00 
wglGetProcAddress("glStencilOpSeparate")=10027D30 
wglGetProcAddress("glUniform1f")=10027D60 
wglGetProcAddress("glUniform1fv")=10027D90 
wglGetProcAddress("glUniform1i")=10027DC0 
wglGetProcAddress("glUniform1iv")=10027DF0 
wglGetProcAddress("glUniform2f")=10027E20 
wglGetProcAddress("glUniform2fv")=10027E50 
wglGetProcAddress("glUniform2i")=10027E80 
wglGetProcAddress("glUniform2iv")=10027EB0 
wglGetProcAddress("glUniform3f")=10027EE0 
wglGetProcAddress("glUniform3fv")=10027F10 
wglGetProcAddress("glUniform3i")=10027F40 
wglGetProcAddress("glUniform3iv")=10027F70 
wglGetProcAddress("glUniform4f")=10027FA0 
wglGetProcAddress("glUniform4fv")=10027FD0 
wglGetProcAddress("glUniform4i")=10028000 
wglGetProcAddress("glUniform4iv")=10028030 
wglGetProcAddress("glUniformMatrix2fv")=10028060 
wglGetProcAddress("glUniformMatrix3fv")=10028090 
wglGetProcAddress("glUniformMatrix4fv")=100280C0 
wglGetProcAddress("glUseProgram")=100280F0 
wglGetProcAddress("glValidateProgram")=10028120 
wglGetProcAddress("glVertexAttrib1d")=10028150 
wglGetProcAddress("glVertexAttrib1dv")=10028180 
wglGetProcAddress("glVertexAttrib1f")=100281B0 
wglGetProcAddress("glVertexAttrib1fv")=100281E0 
wglGetProcAddress("glVertexAttrib1s")=10028210 
wglGetProcAddress("glVertexAttrib1sv")=10028240 
wglGetProcAddress("glVertexAttrib2d")=10028270 
wglGetProcAddress("glVertexAttrib2dv")=100282A0 
wglGetProcAddress("glVertexAttrib2f")=100282D0 
wglGetProcAddress("glVertexAttrib2fv")=10028300 
wglGetProcAddress("glVertexAttrib2s")=10028330 
wglGetProcAddress("glVertexAttrib2sv")=10028360 
wglGetProcAddress("glVertexAttrib3d")=10028390 
wglGetProcAddress("glVertexAttrib3dv")=100283C0 
wglGetProcAddress("glVertexAttrib3f")=100283F0 
wglGetProcAddress("glVertexAttrib3fv")=10028420 
wglGetProcAddress("glVertexAttrib3s")=10028450 
wglGetProcAddress("glVertexAttrib3sv")=10028480 
wglGetProcAddress("glVertexAttrib4Nbv")=100284B0 
wglGetProcAddress("glVertexAttrib4Niv")=100284E0 
wglGetProcAddress("glVertexAttrib4Nsv")=10028510 
wglGetProcAddress("glVertexAttrib4Nub")=10028540 
wglGetProcAddress("glVertexAttrib4Nubv")=10028570 
wglGetProcAddress("glVertexAttrib4Nuiv")=100285A0 
wglGetProcAddress("glVertexAttrib4Nusv")=100285D0 
wglGetProcAddress("glVertexAttrib4bv")=10028600 
wglGetProcAddress("glVertexAttrib4d")=10028630 
wglGetProcAddress("glVertexAttrib4dv")=10028660 
wglGetProcAddress("glVertexAttrib4f")=10028690 
wglGetProcAddress("glVertexAttrib4fv")=100286C0 
wglGetProcAddress("glVertexAttrib4iv")=100286F0 
wglGetProcAddress("glVertexAttrib4s")=10028720 
wglGetProcAddress("glVertexAttrib4sv")=10028750 
wglGetProcAddress("glVertexAttrib4ubv")=10028780 
wglGetProcAddress("glVertexAttrib4uiv")=100287B0 
wglGetProcAddress("glVertexAttrib4usv")=100287E0 
wglGetProcAddress("glVertexAttribPointer")=10028810 
wglGetProcAddress("glUniformMatrix2x3fv")=10028840 
wglGetProcAddress("glUniformMatrix2x4fv")=10028870 
wglGetProcAddress("glUniformMatrix3x2fv")=100288A0 
wglGetProcAddress("glUniformMatrix3x4fv")=100288D0 
wglGetProcAddress("glUniformMatrix4x2fv")=10028900 
wglGetProcAddress("glUniformMatrix4x3fv")=10028930 
wglGetProcAddress("glBindFramebuffer")=10028960 
wglGetProcAddress("glBindRenderbuffer")=10028990 
wglGetProcAddress("glBlitFramebuffer")=100289C0 
wglGetProcAddress("glCheckFramebufferStatus")=100289F0 
wglGetProcAddress("glDeleteFramebuffers")=10028A20 
wglGetProcAddress("glDeleteRenderbuffers")=10028A50 
wglGetProcAddress("glFramebufferRenderbuffer")=10028A80 
wglGetProcAddress("glFramebufferTexture1D")=10028AB0 
wglGetProcAddress("glFramebufferTexture2D")=10028AE0 
wglGetProcAddress("glFramebufferTexture3D")=10028B10 
wglGetProcAddress("glFramebufferTextureLayer")=10028B40 
wglGetProcAddress("glGenFramebuffers")=10028B70 
wglGetProcAddress("glGenRenderbuffers")=10028BA0 
wglGetProcAddress("glGenerateMipmap")=10028BD0 
wglGetProcAddress("glGetFramebufferAttachmen...")=10028C00 
wglGetProcAddress("glGetRenderbufferParamete...")=10028C30 
wglGetProcAddress("glIsFramebuffer")=10028C60 
wglGetProcAddress("glIsRenderbuffer")=10028C90 
wglGetProcAddress("glRenderbufferStorage")=10028CC0 
wglGetProcAddress("glRenderbufferStorageMult...")=10028CF0 
wglGetProcAddress("glFlushMappedBufferRange")=10028D20 
wglGetProcAddress("glMapBufferRange")=10028D50 
wglGetProcAddress("glBindBufferBase")=10028D80 
wglGetProcAddress("glBindBufferRange")=10028DB0 
wglGetProcAddress("glGetActiveUniformBlockNa...")=10028DE0 
wglGetProcAddress("glGetActiveUniformBlockiv")=10028E10 
wglGetProcAddress("glGetActiveUniformName")=10028E40 
wglGetProcAddress("glGetActiveUniformsiv")=10028E70 
wglGetProcAddress("glGetIntegeri_v")=10028EA0 
wglGetProcAddress("glGetUniformBlockIndex")=10028ED0 
wglGetProcAddress("glGetUniformIndices")=10028F00 
wglGetProcAddress("glUniformBlockBinding")=10028F30 
wglGetProcAddress("glBindVertexArray")=10028F60 
wglGetProcAddress("glDeleteVertexArrays")=10028F90 
wglGetProcAddress("glGenVertexArrays")=10028FC0 
wglGetProcAddress("glIsVertexArray")=10028FF0 
wglGetProcAddress("glBeginConditionalRender")=10029020 
wglGetProcAddress("glBeginTransformFeedback")=10029050 
wglGetProcAddress("glBindFragDataLocation")=10029080 
wglGetProcAddress("glClampColor")=100290B0 
wglGetProcAddress("glClearBufferfi")=100290E0 
wglGetProcAddress("glClearBufferfv")=10029110 
wglGetProcAddress("glClearBufferiv")=10029140 
wglGetProcAddress("glClearBufferuiv")=10029170 
wglGetProcAddress("glColorMaski")=100291A0 
wglGetProcAddress("glDisablei")=100291D0 
wglGetProcAddress("glEnablei")=10029200 
wglGetProcAddress("glEndConditionalRender")=10029230 
wglGetProcAddress("glEndTransformFeedback")=10029260 
wglGetProcAddress("glGetBooleani_v")=10029290 
wglGetProcAddress("glGetFragDataLocation")=100292C0 
wglGetProcAddress("glGetStringi")=100260E0 
wglGetProcAddress("glGetTexParameterIiv")=100292F0 
wglGetProcAddress("glGetTexParameterIuiv")=10029320 
wglGetProcAddress("glGetTransformFeedbackVar...")=10029350 
wglGetProcAddress("glGetUniformuiv")=10029380 
wglGetProcAddress("glGetVertexAttribIiv")=100293B0 
wglGetProcAddress("glGetVertexAttribIuiv")=100293E0 
wglGetProcAddress("glIsEnabledi")=10029410 
wglGetProcAddress("glTexParameterIiv")=10029440 
wglGetProcAddress("glTexParameterIuiv")=10029470 
wglGetProcAddress("glTransformFeedbackVaryin...")=100294A0 
wglGetProcAddress("glUniform1ui")=100294D0 
wglGetProcAddress("glUniform1uiv")=10029500 
wglGetProcAddress("glUniform2ui")=10029530 
wglGetProcAddress("glUniform2uiv")=10029560 
wglGetProcAddress("glUniform3ui")=10029590 
wglGetProcAddress("glUniform3uiv")=100295C0 
wglGetProcAddress("glUniform4ui")=100295F0 
wglGetProcAddress("glUniform4uiv")=10029620 
wglGetProcAddress("glVertexAttribI1i")=10029650 
wglGetProcAddress("glVertexAttribI1iv")=10029680 
wglGetProcAddress("glVertexAttribI1ui")=100296B0 
wglGetProcAddress("glVertexAttribI1uiv")=100296E0 
wglGetProcAddress("glVertexAttribI2i")=10029710 
wglGetProcAddress("glVertexAttribI2iv")=10029740 
wglGetProcAddress("glVertexAttribI2ui")=10029770 
wglGetProcAddress("glVertexAttribI2uiv")=100297A0 
wglGetProcAddress("glVertexAttribI3i")=100297D0 
wglGetProcAddress("glVertexAttribI3iv")=10029800 
wglGetProcAddress("glVertexAttribI3ui")=10029830 
wglGetProcAddress("glVertexAttribI3uiv")=10029860 
wglGetProcAddress("glVertexAttribI4bv")=10029890 
wglGetProcAddress("glVertexAttribI4i")=100298C0 
wglGetProcAddress("glVertexAttribI4iv")=100298F0 
wglGetProcAddress("glVertexAttribI4sv")=10029920 
wglGetProcAddress("glVertexAttribI4ubv")=10029950 
wglGetProcAddress("glVertexAttribI4ui")=10029980 
wglGetProcAddress("glVertexAttribI4uiv")=100299B0 
wglGetProcAddress("glVertexAttribI4usv")=100299E0 
wglGetProcAddress("glVertexAttribIPointer")=10029A10 
wglGetProcAddress("glCopyBufferSubData")=10029A40 
wglGetProcAddress("glDrawArraysInstanced")=10029A70 
wglGetProcAddress("glDrawElementsInstanced")=10029AA0 
wglGetProcAddress("glPrimitiveRestartIndex")=10029AD0 
wglGetProcAddress("glTexBuffer")=10029B00 
wglGetProcAddress("glDrawElementsBaseVertex")=10029B30 
wglGetProcAddress("glDrawElementsInstancedBa...")=10029B60 
wglGetProcAddress("glDrawRangeElementsBaseVe...")=10029B90 
wglGetProcAddress("glMultiDrawElementsBaseVe...")=10029BC0 
wglGetProcAddress("glProvokingVertex")=10029BF0 
wglGetProcAddress("glClientWaitSync")=10029C20 
wglGetProcAddress("glDeleteSync")=10029C50 
wglGetProcAddress("glFenceSync")=10029C80 
wglGetProcAddress("glGetInteger64v")=10029CB0 
wglGetProcAddress("glGetSynciv")=10029CE0 
wglGetProcAddress("glIsSync")=10029D10 
wglGetProcAddress("glWaitSync")=10029D40 
wglGetProcAddress("glGetMultisamplefv")=10029D70 
wglGetProcAddress("glSampleMaski")=10029DA0 
wglGetProcAddress("glTexImage2DMultisample")=10029DD0 
wglGetProcAddress("glTexImage3DMultisample")=10029E00 
wglGetProcAddress("glFramebufferTexture")=10029E30 
wglGetProcAddress("glGetBufferParameteri64v")=10029E60 
wglGetProcAddress("glGetInteger64i_v")=10029E90 
wglGetProcAddress("glVertexAttribDivisor")=10029EC0 
wglGetProcAddress("glBlendEquationSeparatei")=10029EF0 
wglGetProcAddress("glBlendEquationi")=10029F20 
wglGetProcAddress("glBlendFuncSeparatei")=10029F50 
wglGetProcAddress("glBlendFunci")=10029F80 
wglGetProcAddress("glMinSampleShading")=10029FB0 
wglGetProcAddress("glGetGraphicsResetStatus")=10029FE0 
wglGetProcAddress("glGetnCompressedTexImage")=1002A010 
wglGetProcAddress("glGetnTexImage")=1002A040 
wglGetProcAddress("glGetnUniformdv")=1002A070 
wglGetProcAddress("glMultiDrawArraysIndirect...")=1002A0A0 
wglGetProcAddress("glMultiDrawElementsIndire...")=1002A0D0 
wglGetProcAddress("glClearDepthf")=1002A100 
wglGetProcAddress("glDepthRangef")=1002A130 
wglGetProcAddress("glGetShaderPrecisionForma...")=1002A160 
wglGetProcAddress("glReleaseShaderCompiler")=1002A190 
wglGetProcAddress("glShaderBinary")=1002A1C0 
wglGetProcAddress("glMemoryBarrierByRegion")=1002A1F0 
wglGetProcAddress("glPrimitiveBoundingBoxARB")=1002A220 
wglGetProcAddress("glDrawArraysInstancedBase...")=1002A250 
wglGetProcAddress("glDrawElementsInstancedBa...")=1002A280 
wglGetProcAddress("glDrawElementsInstancedBa...")=1002A2B0 
wglGetProcAddress("glGetImageHandleARB")=1003DF00 
wglGetProcAddress("glGetTextureHandleARB")=1003DDA0 
wglGetProcAddress("glGetTextureSamplerHandle...")=1003DE50 
wglGetProcAddress("glGetVertexAttribLui64vAR...")=1002A2E0 
wglGetProcAddress("glIsImageHandleResidentAR...")=1002A310 
wglGetProcAddress("glIsTextureHandleResident...")=1002A340 
wglGetProcAddress("glMakeImageHandleNonResid...")=1002A370 
wglGetProcAddress("glMakeImageHandleResident...")=1002A3A0 
wglGetProcAddress("glMakeTextureHandleNonRes...")=1002A3D0 
wglGetProcAddress("glMakeTextureHandleReside...")=1002A400 
wglGetProcAddress("glProgramUniformHandleui6...")=1002A430 
wglGetProcAddress("glProgramUniformHandleui6...")=1002A460 
wglGetProcAddress("glUniformHandleui64ARB")=1002A490 
wglGetProcAddress("glUniformHandleui64vARB")=1002A4C0 
wglGetProcAddress("glVertexAttribL1ui64ARB")=1002A4F0 
wglGetProcAddress("glVertexAttribL1ui64vARB")=1002A520 
wglGetProcAddress("glBindFragDataLocationInd...")=1002A550 
wglGetProcAddress("glGetFragDataIndex")=1002A580 
wglGetProcAddress("glBufferStorage")=1002A5B0 
wglGetProcAddress("glNamedBufferStorageEXT")=1002A5E0 
wglGetProcAddress("glClearBufferData")=1002A610 
wglGetProcAddress("glClearBufferSubData")=1002A640 
wglGetProcAddress("glClearNamedBufferDataEXT")=1002A670 
wglGetProcAddress("glClearNamedBufferSubData...")=1002A6A0 
wglGetProcAddress("glClearTexImage")=1002A6D0 
wglGetProcAddress("glClearTexSubImage")=1002A700 
wglGetProcAddress("glClipControl")=1002A730 
wglGetProcAddress("glClampColorARB")=1002A760 
wglGetProcAddress("glDispatchCompute")=1002A790 
wglGetProcAddress("glDispatchComputeIndirect")=1002A7C0 
wglGetProcAddress("glDispatchComputeGroupSiz...")=1002A7F0 
wglGetProcAddress("glCopyBufferSubData")=10029A40 
wglGetProcAddress("glCopyImageSubData")=1002A820 
wglGetProcAddress("glDebugMessageCallbackARB")=1002A850 
wglGetProcAddress("glDebugMessageControlARB")=1002A880 
wglGetProcAddress("glDebugMessageInsertARB")=1002A8B0 
wglGetProcAddress("glGetDebugMessageLogARB")=1002A8E0 
wglGetProcAddress("glBindTextureUnit")=1002A910 
wglGetProcAddress("glBlitNamedFramebuffer")=1002A940 
wglGetProcAddress("glCheckNamedFramebufferSt...")=1002A970 
wglGetProcAddress("glClearNamedBufferData")=1002A9A0 
wglGetProcAddress("glClearNamedBufferSubData")=1002A9D0 
wglGetProcAddress("glClearNamedFramebufferfi")=1002AA00 
wglGetProcAddress("glClearNamedFramebufferfv")=1002AA30 
wglGetProcAddress("glClearNamedFramebufferiv")=1002AA60 
wglGetProcAddress("glClearNamedFramebufferui...")=1002AA90 
wglGetProcAddress("glCompressedTextureSubIma...")=1002AAC0 
wglGetProcAddress("glCompressedTextureSubIma...")=1002AAF0 
wglGetProcAddress("glCompressedTextureSubIma...")=1002AB20 
wglGetProcAddress("glCopyNamedBufferSubData")=1002AB50 
wglGetProcAddress("glCopyTextureSubImage1D")=1002AB80 
wglGetProcAddress("glCopyTextureSubImage2D")=1002ABB0 
wglGetProcAddress("glCopyTextureSubImage3D")=1002ABE0 
wglGetProcAddress("glCreateBuffers")=1002AC10 
wglGetProcAddress("glCreateFramebuffers")=1002AC40 
wglGetProcAddress("glCreateProgramPipelines")=1002AC70 
wglGetProcAddress("glCreateQueries")=1002ACA0 
wglGetProcAddress("glCreateRenderbuffers")=1002ACD0 
wglGetProcAddress("glCreateSamplers")=1002AD00 
wglGetProcAddress("glCreateTextures")=1002AD30 
wglGetProcAddress("glCreateTransformFeedback...")=1002AD60 
wglGetProcAddress("glCreateVertexArrays")=1002AD90 
wglGetProcAddress("glDisableVertexArrayAttri...")=1002ADC0 
wglGetProcAddress("glEnableVertexArrayAttrib")=1002ADF0 
wglGetProcAddress("glFlushMappedNamedBufferR...")=1002AE20 
wglGetProcAddress("glGenerateTextureMipmap")=1002AE50 
wglGetProcAddress("glGetCompressedTextureIma...")=1002AE80 
wglGetProcAddress("glGetNamedBufferParameter...")=1002AEB0 
wglGetProcAddress("glGetNamedBufferParameter...")=1002AEE0 
wglGetProcAddress("glGetNamedBufferPointerv")=1002AF10 
wglGetProcAddress("glGetNamedBufferSubData")=1002AF40 
wglGetProcAddress("glGetNamedFramebufferAtta...")=1002AF70 
wglGetProcAddress("glGetNamedFramebufferPara...")=1002AFA0 
wglGetProcAddress("glGetNamedRenderbufferPar...")=1002AFD0 
wglGetProcAddress("glGetQueryBufferObjecti64...")=1002B000 
wglGetProcAddress("glGetQueryBufferObjectiv")=1002B030 
wglGetProcAddress("glGetQueryBufferObjectui6...")=1002B060 
wglGetProcAddress("glGetQueryBufferObjectuiv")=1002B090 
wglGetProcAddress("glGetTextureImage")=1002B0C0 
wglGetProcAddress("glGetTextureLevelParamete...")=1002B0F0 
wglGetProcAddress("glGetTextureLevelParamete...")=1002B120 
wglGetProcAddress("glGetTextureParameterIiv")=1002B150 
wglGetProcAddress("glGetTextureParameterIuiv")=1002B180 
wglGetProcAddress("glGetTextureParameterfv")=1002B1B0 
wglGetProcAddress("glGetTextureParameteriv")=1002B1E0 
wglGetProcAddress("glGetTransformFeedbacki64...")=1002B210 
wglGetProcAddress("glGetTransformFeedbacki_v")=1002B240 
wglGetProcAddress("glGetTransformFeedbackiv")=1002B270 
wglGetProcAddress("glGetVertexArrayIndexed64...")=1002B2A0 
wglGetProcAddress("glGetVertexArrayIndexediv")=1002B2D0 
wglGetProcAddress("glGetVertexArrayiv")=1002B300 
wglGetProcAddress("glInvalidateNamedFramebuf...")=1002B330 
wglGetProcAddress("glInvalidateNamedFramebuf...")=1002B360 
wglGetProcAddress("glMapNamedBuffer")=1002B390 
wglGetProcAddress("glMapNamedBufferRange")=1002B3C0 
wglGetProcAddress("glNamedBufferData")=1002B3F0 
wglGetProcAddress("glNamedBufferStorage")=1002B420 
wglGetProcAddress("glNamedBufferSubData")=1002B450 
wglGetProcAddress("glNamedFramebufferDrawBuf...")=1002B480 
wglGetProcAddress("glNamedFramebufferDrawBuf...")=1002B4B0 
wglGetProcAddress("glNamedFramebufferParamet...")=1002B4E0 
wglGetProcAddress("glNamedFramebufferReadBuf...")=1002B510 
wglGetProcAddress("glNamedFramebufferRenderb...")=1002B540 
wglGetProcAddress("glNamedFramebufferTexture")=1002B570 
wglGetProcAddress("glNamedFramebufferTexture...")=1002B5A0 
wglGetProcAddress("glNamedRenderbufferStorag...")=1002B5D0 
wglGetProcAddress("glNamedRenderbufferStorag...")=1002B600 
wglGetProcAddress("glTextureBuffer")=1002B630 
wglGetProcAddress("glTextureBufferRange")=1002B660 
wglGetProcAddress("glTextureParameterIiv")=1002B690 
wglGetProcAddress("glTextureParameterIuiv")=1002B6C0 
wglGetProcAddress("glTextureParameterf")=1002B6F0 
wglGetProcAddress("glTextureParameterfv")=1002B720 
wglGetProcAddress("glTextureParameteri")=1002B750 
wglGetProcAddress("glTextureParameteriv")=1002B780 
wglGetProcAddress("glTextureStorage1D")=1002B7B0 
wglGetProcAddress("glTextureStorage2D")=1002B7E0 
wglGetProcAddress("glTextureStorage2DMultisa...")=1002B810 
wglGetProcAddress("glTextureStorage3D")=1002B840 
wglGetProcAddress("glTextureStorage3DMultisa...")=1002B870 
wglGetProcAddress("glTextureSubImage1D")=1002B8A0 
wglGetProcAddress("glTextureSubImage2D")=1002B8D0 
wglGetProcAddress("glTextureSubImage3D")=1002B900 
wglGetProcAddress("glTransformFeedbackBuffer...")=1002B930 
wglGetProcAddress("glTransformFeedbackBuffer...")=1002B960 
